#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
26.6%	266000	-15261.325707851669	306.0060314370935	1.27e+03
26.7%	267000	-15176.91446404947	308.71838238799165	1.27e+03
26.8%	268000	-15349.625829457087	329.8006071625673	1.27e+03
26.9%	269000	-15310.286210541053	321.79809787685804	1.27e+03
27.0%	270000	-15181.702057291193	294.4606828075045	1.27e+03
27.1%	271000	-15380.761479836605	324.0652662141466	1.27e+03
27.2%	272000	-15145.009183077615	291.15908260317855	1.27e+03
27.3%	273000	-15282.752325171401	307.7403565586394	1.26e+03
27.4%	274000	-15557.055050281699	298.3393115428051	1.26e+03
27.5%	275000	-15365.379297303516	305.53454529938955	1.26e+03
27.6%	276000	-15133.389663535556	306.87939061572854	1.26e+03
27.7%	277000	-15169.401943976452	306.44880429972363	1.26e+03
27.8%	278000	-15288.289137815205	282.4776666549883	1.26e+03
27.9%	279000	-15282.782756487512	314.02319616928924	1.26e+03
28.0%	280000	-15473.4334695508	308.05138101563927	1.26e+03
28.1%	281000	-15271.90778007538	311.2269193623807	1.26e+03
28.2%	282000	-15161.378524320942	298.71271280832605	1.26e+03
28.3%	283000	-15175.563804271776	312.1009683957538	1.26e+03
28.4%	284000	-15187.091679983365	330.20521077527263	1.26e+03
28.5%	285000	-15150.805108421846	288.70999612782475	1.26e+03
28.6%	286000	-15300.460825020986	300.612510026996	1.26e+03
28.7%	287000	-15201.669538829461	294.04138858267896	1.26e+03
28.8%	288000	-15208.055433529305	304.6524874587047	1.26e+03
28.9%	289000	-15155.437379430128	294.0291614118878	1.26e+03
29.0%	290000	-15281.921658244792	298.5936868481196	1.26e+03
29.1%	291000	-15185.967289342741	288.9358091411373	1.26e+03
29.2%	292000	-15258.990345876839	306.7540954213985	1.26e+03
29.3%	293000	-15187.996485983815	316.3908870459515	1.26e+03
29.4%	294000	-15267.172319586985	306.91537691562115	1.26e+03
29.5%	295000	-15310.105298038972	291.1556724676021	1.26e+03
29.6%	296000	-15378.852405262121	300.8865253531957	1.26e+03
29.7%	297000	-15446.401409032092	307.97299573283374	1.26e+03
29.8%	298000	-15184.726213860406	299.6205230339065	1.26e+03
29.9%	299000	-15289.631177305237	302.48341556399635	1.26e+03
30.0%	300000	-15213.164942001327	294.98933090763506	1.25e+03
30.1%	301000	-15183.57209937511	315.9955986733572	1.25e+03
30.2%	302000	-15170.538283078524	302.7199871040796	1.25e+03
30.3%	303000	-15334.372809322973	308.51274073890295	1.25e+03
30.4%	304000	-15209.807616034268	319.3274574459197	1.25e+03
30.5%	305000	-15306.55602358158	301.5776072814513	1.25e+03
30.6%	306000	-15346.831899891775	285.6996248486855	1.25e+03
30.7%	307000	-15132.774081501673	304.42326349456624	1.25e+03
30.8%	308000	-14999.488370590421	318.5634393663525	1.25e+03
30.9%	309000	-15343.192412819415	307.158421328152	1.25e+03
31.0%	310000	-15137.790537312678	304.7618960142014	1.25e+03
31.1%	311000	-15155.000657874552	298.65649965160156	1.25e+03
31.2%	312000	-15287.203851036604	291.526485100476	1.25e+03
31.3%	313000	-14977.692209865687	305.9864698043752	1.25e+03
31.4%	314000	-15144.085724978424	308.7408524813677	1.25e+03
