#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
36.0%	360000	-758857.4493454306	302.0914185859134	596
36.1%	361000	-759207.7816038493	293.56113350775615	596
36.2%	362000	-759108.7745143361	306.6396645633806	596
36.3%	363000	-758990.5262197903	302.96980302515914	596
36.4%	364000	-759041.010343637	298.0762241197482	596
36.5%	365000	-758817.9856987658	313.0627119658129	596
36.6%	366000	-758853.175397432	296.5010047273386	596
36.7%	367000	-758848.8764142776	315.5809206791772	596
36.8%	368000	-758718.7826525392	294.7091740435359	596
36.9%	369000	-758846.9398085168	313.04765089653273	596
37.0%	370000	-759084.805596919	290.90102388067703	596
37.1%	371000	-758946.1459209162	296.58541156070834	596
37.2%	372000	-758933.5269093323	301.50405911503344	596
37.3%	373000	-758761.0110391383	319.87385824753676	596
37.4%	374000	-758903.695637227	298.03890382333384	596
37.5%	375000	-758878.2727508171	296.80977998742844	596
37.6%	376000	-758772.9885374592	297.3836874981645	596
37.7%	377000	-758726.303378292	302.0758405024193	595
37.8%	378000	-758882.1482745858	278.72221222906626	595
37.9%	379000	-758679.8756455274	295.30173812526215	595
38.0%	380000	-758903.3763458374	298.35714383841656	595
38.1%	381000	-759020.2803290286	300.3854693102134	595
38.2%	382000	-758810.5803562717	297.72909906315346	595
38.3%	383000	-758789.0335078803	292.25699233013654	595
38.4%	384000	-759003.0187468035	306.4693359702102	596
38.5%	385000	-758763.3462524107	310.1212624175272	595
38.6%	386000	-759066.6972550199	310.7813418323862	595
38.7%	387000	-758948.294410423	305.0988233505104	596
38.8%	388000	-758847.8495222405	304.9801111232153	596
38.9%	389000	-758787.2960671391	298.62457104261756	596
39.0%	390000	-758873.0886635178	298.751924775239	596
39.1%	391000	-758868.7984845596	308.8361501806951	596
39.2%	392000	-758820.8371351428	295.1524858371262	596
39.3%	393000	-758887.4700596933	295.1627017985088	596
39.4%	394000	-759072.7674818625	296.99450088783385	596
39.5%	395000	-758841.1028043919	303.9951267009994	596
39.6%	396000	-758900.0244468214	291.3462973749138	596
39.7%	397000	-758898.0172502649	306.4176142412614	596
