name,formula,mole_vol,mole_weight
Nontronite-H                       type=,H.33Fe2Al.33Si3.67H2O12,0.0,
Nontronite-K                       type=,K.33Fe2Al.33Si3.67H2O12,140.235,
Nontronite-Mg                      type=,Mg.165Fe2Al.33Si3.67H2O12,134.809,
Nontronite-Na                      type=,Na.33Fe2Al.33Si3.67H2O12,136.81,
Np(OH)4(am)                        type=,Np(OH)4,0.0,
Np2O5                              type=,Np2O5,0.0,
NpCl4                              type=,NpCl4,0.0,
NpF4                               type=,NpF4,0.0,
NpF5                               type=,NpF5,0.0,
NpO2(cr)                           type=,NpO2,24.22,
NpO2(NO3)2:6H2O                    type=,NpO2(NO3)2:6H2O,0.0,
NpO2CO3                            type=,NpO2CO3,0.0,
NpO2OH(am)                         type=,NpO2OH,0.0,
"NpO2OH(am,aged)                    type=",NpO2OH,0.0,
NpO3:H2O                           type=,NpO3:H2O,0.0,
NpOCl2                             type=,NpOCl2,0.0,
Oxychloride-Mg                     type=,Mg2Cl(OH)3:4H2O,0.0,
Palygorskite                       type=,H18Mg2.84O30Si7.73Al1.8,0.0,
Pentahydrite                       type= sulfate,MgSO4:5H2O,0.0,
Pentasalt                          type= sulfate,K2Ca5(SO4)6:H2O,0.0,
Periclase                          type= oxide,MgO,11.248,
Phillipsite                        type=,K0.7Na0.7Ca1.1Al3.6Si12.4O32:12.6H2O,609.2,
Picromerite                        type= sulfate,K2Mg(SO4)2:6H2O,197.5,
Pirssonite                         type= carbonate,Na2Ca(CO3)2:2H2O,102.3,
Plutonium                          type= native,Pu,0.0,
Polyhalite                         type=,K2MgCa2(SO4)4^2H2O,218.1,
Portlandite                        type= hydroxide,Ca(OH)2,33.056,
Powellite                          type=,CaMoO4,0.0,
"Pu(HPO4)2(am,hyd)                  type=",Pu(HPO4)2,0.0,
Pu(OH)3                            type=,Pu(OH)3,0.0,
Pu(OH)4(am)                        type=,Pu(OH)4,0.0,
Pu2C3                              type=,Pu2C3,0.0,
Pu2O3                              type=,Pu2O3,0.0,
Pu3C2                              type=,Pu3C2,0.0,
PuC0.84                            type=,PuC0.84,0.0,
PuCl3:6H2O                         type=,PuCl3:6H2O,0.0,
PuCl4                              type=,PuCl4,0.0,
PuF3                               type=,PuF3,0.0,
PuF6                               type=,PuF6,0.0,
PuO1.61                            type=,PuO1.61,0.0,
PuO2(cr)                           type=,PuO2,23.83,
PuO2(NO3)2:6H2O                    type=,PuO2(NO3)2:6H2O,0.0,
PuO2(OH)2:H2O                      type=,PuO2(OH)2:H2O,0.0,
PuO2CO3                            type=,PuO2CO3,0.0,
PuOCl                              type=,PuO2Cl,0.0,
PuOF                               type=,PuO2F,0.0,
"PuPO4(s,hyd)                       type=",PuPO4,0.0,
Pyrolusite                         type= oxide,MnO2,17.181,
Pyrophyllite                       type=,Al2Si4O10(OH)2,126.6,
Quartz                             type= oxide,SiO2,22.688,
Rhodochrosite                      type=,MnCO3,31.075,
Ripidolite-14A                     type=,Mg3Fe2Al2Si3O10(OH)8,209.634,
Ripidolite-7A                      type=,Mg3Fe2Al2Si3O10(OH)8,215.38,
Rutherfordine                      type=,UO2CO3,0.0,
Saponite-Ca                        type=,Ca.165Mg3Al.33Si3.67O10(OH)2,134.359,
Saponite-H                         type=,H.33Mg3Al.33Si3.67O10(OH)2,133.506,
Saponite-K                         type=,K.33Mg3Al.33Si3.67O10(OH)2,138.745,
Saponite-Mg                        type=,Mg3.165Al.33Si3.67O10(OH)2,132.602,
Saponite-Na                        type=,Na.33Mg3Al.33Si3.67O10(OH)2,135.32,
Schoepite                          type=,UO3:2H2O,66.08,
Scolecite                          type=,CaAl2Si3O10:3H2O,0.0,
Sellaite                           type= halide,MgF2,19.61,
Sepiolite                          type=,Mg4Si6O15(OH)2:6H2O,285.6,
Sepiolite(am)                      type=,Mg4Si6O15(OH)2:6H2O,285.6,
Siderite                           type= carbonate,FeCO3,29.378,
SiO2(am)                           type= oxide,SiO2,29.0,
Smectite-high-Fe-Mg                type=,Ca.025Na.1K.2Fe++.5Fe+++.2Mg1.15Al1.25Si3.5H2O12,139.51,
Smectite-low-Fe-Mg                 type=,Ca.02Na.15K.2Fe++.29Fe+++.16Mg.9Al1.25Si3.75H2O1,139.602,
Soda_Niter                         type=,NaNO3,0.0,
Sodium                             type= native,Na,23.812,
Sr(OH)2                            type= oxide,Sr(OH)2,0.0,
SrBr2                              type=,SrBr2,0.0,
SrCl2                              type=,SrCl2,0.0,
SrF2                               type=,SrF2,0.0,
SrI2                               type=,SrI2,0.0,
SrMoO4                             type=,SrMoO4,0.0,
SrO                                type= oxide,SrO,0.0,
Stellerite                         type=,Ca2.0Al4.0Si14.0O36:14.0H2O,665.5,
Stilbite                           type=,Ca1.019Na.136K.006Al2.18Si6.82O18:7.33H2O,0.0,
Strontianite                       type= carbonate,SrCO3,39.01,
Sylvite                            type= halide,KCl,37.524,
Syngenite                          type=,K2Ca(SO4)2^H2O,124.2,
Tachyhydrite                       type= halide,Mg2CaCl6:12H2O,203.78,
Talc                               type=,Mg3Si4O10(OH)2,136.25,
Tarapacaite                        type=,K2CrO4,69.43,
Tc2O7                              type=,Tc2O7,0.0,
Tc2O7:H2O                          type=,Tc2O7:H2O,0.0,
TcO2                               type=,TcO2,0.0,
TcO2:1.6H2O                        type=,TcO2:1.6H2O,0.0,
Technetium                         type= native,Tc,0.0,
Th(OH)4(am)                        type=,Th(OH)4,0.0,
Th(SO4)2                           type=,Th(SO4)2,100.39,
Th0.75PO4                          type=,Th0.75PO4,0.0,
Thenardite                         type= sulfate,Na2SO4,53.33,
Theophrastite                      type=,Ni(OH)2,22.34,
Thermonatrite                      type= carbonate,Na2CO3:H2O,54.92,
ThF4                               type=,ThF4,48.74,
ThF4:2.5H2O                        type=,ThF4:2.5H2O,0.0,
ThO2(am)                           type=,ThO2,0.0,
ThO2(cr)                           type=,ThO2,0.0,
Thorium                            type= native,Th,19.83,
Trona                              type=,Na3H(CO3)2^2H2O,0.0,
Trona-K                            type=,K2NaH(CO3)2:2H2O,0.0,
U(HPO4)2:4H2O                      type=,U(HPO4)2:4H2O,0.0,
U(OH)2SO4                          type=,U(OH)2SO4,0.0,
U(OH)4(am)                         type=,U(OH)4,0.0,
U(SO3)2                            type=,U(SO3)2,0.0,
U(SO4)2                            type=,U(SO4)2,0.0,
U(SO4)2:4H2O                       type=,U(SO4)2:4H2O,0.0,
U(SO4)2:8H2O                       type=,U(SO4)2:8H2O,0.0,
U2O3F6                             type=,U2O3F6,0.0,
U3O5F8                             type=,U3O5F8,0.0,
UCl2F2                             type=,UCl2F2,0.0,
UCl3F                              type=,UCl3F,0.0,
UCl4                               type=,UCl4,0.0,
UCl6                               type=,UCl6,0.0,
UClF3                              type=,UClF3,0.0,
UF4                                type=,UF4,46.88,
UF4:2.5H2O                         type=,UF4:2.5H2O,0.0,
UF6                                type=,UF6,0.0,
UI4                                type=,UI4,0.0,
UO2(cr)                            type=,UO2,0.0,
UO2(NO3)2                          type=,UO2(NO3)2,0.0,
UO2(NO3)2:2H2O                     type=,UO2(NO3)2:2H2O,0.0,
UO2(NO3)2:3H2O                     type=,UO2(NO3)2:3H2O,0.0,
UO2(NO3)2:6H2O                     type=,UO2(NO3)2:6H2O,178.88,
UO2(NO3)2:H2O                      type=,UO2(NO3)2:H2O,0.0,
UO2(OH)2(beta)                     type=,UO2(OH)2,51.31,
UO2.3333(beta)                     type=,UO2.3333,0.0,
UO2.6667                           type=,UO2.6667,0.0,
UO2Cl2                             type=,UO2Cl2,0.0,
UO2Cl2:3H2O                        type=,UO2Cl2:3H2O,0.0,
UO2Cl2:H2O                         type=,UO2Cl2:H2O,0.0,
UO2ClOH:2H2O                       type=,UO2ClOH:2H2O,0.0,
UO2F2                              type=,UO2F2,0.0,
UO2F2:3H2O                         type=,UO2F2:3H2O,0.0,
UO2FOH:2H2O                        type=,UO2FOH:2H2O,0.0,
UO2FOH:H2O                         type=,UO2FOH:H2O,0.0,
UO2HPO4:4H2O                       type=,UO2HPO4:4H2O,0.0,
UO2SO3                             type=,UO2SO3,0.0,
UO2SO4                             type=,UO2SO4,0.0,
UO2SO4:2.5H2O                      type=,UO2SO4:2.5H2O,0.0,
