#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
26.9%	269000	-568397.9767456055	303.5616923459274	1.53e+03
27.0%	270000	-568200.8594970703	301.7333500547186	1.53e+03
27.1%	271000	-568299.5317382812	292.0943386211318	1.53e+03
27.2%	272000	-568322.0828552246	303.2327383972629	1.53e+03
27.3%	273000	-568094.4985961914	297.62852106136955	1.54e+03
27.4%	274000	-568211.1198730469	310.32519007158595	1.54e+03
27.5%	275000	-568364.6775512695	297.68061598258873	1.54e+03
27.6%	276000	-568130.8804321289	299.7788549141139	1.54e+03
27.7%	277000	-568089.8453369141	303.6098421900393	1.54e+03
27.8%	278000	-568048.8006591797	291.50853040642716	1.54e+03
27.9%	279000	-568123.4324951172	296.6306352780472	1.54e+03
28.0%	280000	-568103.1274414062	306.80622538236156	1.54e+03
28.1%	281000	-568081.4158935547	303.59835107116237	1.54e+03
28.2%	282000	-568285.4317626953	295.5664273401522	1.54e+03
28.3%	283000	-568273.1102294922	304.70690760221646	1.54e+03
28.4%	284000	-568026.8929443359	308.9888248782045	1.54e+03
28.5%	285000	-568247.0860595703	294.16018847070234	1.54e+03
28.6%	286000	-568272.1741943359	294.6667082896802	1.54e+03
28.7%	287000	-568159.7573852539	307.8370268514126	1.54e+03
28.8%	288000	-568199.5697021484	293.84811541763327	1.54e+03
28.9%	289000	-568280.6342468262	306.28857816466206	1.54e+03
29.0%	290000	-568196.0698242188	302.3216801727944	1.54e+03
29.1%	291000	-568359.0932617188	305.8180766498548	1.54e+03
29.2%	292000	-568014.3563232422	297.0265839195572	1.54e+03
29.3%	293000	-568054.873046875	313.0351936627065	1.54e+03
29.4%	294000	-568063.5368652344	300.09755261330656	1.54e+03
29.5%	295000	-568412.4034423828	298.127259614477	1.54e+03
29.6%	296000	-568314.9225769043	305.8161840839723	1.54e+03
29.7%	297000	-568202.2666015625	297.5639039208751	1.55e+03
29.8%	298000	-568143.8822021484	295.125979240112	1.55e+03
29.9%	299000	-568069.7302246094	304.93961389836227	1.55e+03
30.0%	300000	-568149.5256347656	309.44670754504006	1.54e+03
30.1%	301000	-568171.8527832031	303.40438879600214	1.54e+03
30.2%	302000	-567990.8720703125	283.08332447985765	1.54e+03
30.3%	303000	-568176.4619140625	296.05181610255784	1.54e+03
30.4%	304000	-568296.7752685547	308.0742773577358	1.54e+03
30.5%	305000	-568194.4671020508	285.8721044886207	1.54e+03
30.6%	306000	-568359.7749633789	318.75308478950836	1.54e+03
30.7%	307000	-568267.8643493652	312.0274628012277	1.54e+03
30.8%	308000	-568168.6934204102	293.86607272751286	1.54e+03
30.9%	309000	-568265.2626953125	291.8388820188104	1.54e+03
31.0%	310000	-568159.4208984375	286.24255040150535	1.54e+03
31.1%	311000	-568364.7130126953	301.67849010185535	1.54e+03
31.2%	312000	-568180.4921875	291.7143300907692	1.54e+03
31.3%	313000	-568331.4881896973	306.96972085734853	1.54e+03
31.4%	314000	-568195.6439208984	305.92853720369226	1.54e+03
31.5%	315000	-568065.3883666992	295.292040844784	1.54e+03
31.6%	316000	-568340.180480957	298.96458744420596	1.54e+03
31.7%	317000	-568261.3042602539	298.79740137436204	1.54e+03
31.8%	318000	-568212.26171875	293.80970696263864	1.55e+03
31.9%	319000	-568275.4562530518	300.3071125184626	1.55e+03
32.0%	320000	-568240.296875	304.1281479533773	1.55e+03
32.1%	321000	-567974.5881347656	302.47789249498067	1.55e+03
32.2%	322000	-568238.2354736328	316.30874184151344	1.55e+03
32.3%	323000	-568300.5036621094	304.7053320516612	1.55e+03
32.4%	324000	-568352.3077392578	311.1702376645818	1.55e+03
32.5%	325000	-568288.1170654297	290.0483178148639	1.55e+03
32.6%	326000	-568126.2030944824	300.42920157399084	1.55e+03
32.7%	327000	-568422.0549926758	299.8045327137742	1.55e+03
32.8%	328000	-568068.5633850098	300.22653354148173	1.55e+03
32.9%	329000	-568197.9386749268	302.49020358386434	1.55e+03
33.0%	330000	-567920.4309692383	308.18545860602046	1.55e+03
33.1%	331000	-568207.2918701172	292.74183956503987	1.55e+03
33.2%	332000	-568265.693359375	303.53345141623237	1.55e+03
33.3%	333000	-568091.0836181641	306.3555454389975	1.55e+03
33.4%	334000	-568114.3096313477	298.6349136841437	1.55e+03
33.5%	335000	-568286.0894775391	300.9867730366777	1.55e+03
33.6%	336000	-568100.0955200195	297.86123511209337	1.55e+03
33.7%	337000	-568099.7946777344	306.96136806346163	1.55e+03
33.8%	338000	-568384.2697067261	294.92028571681294	1.55e+03
33.9%	339000	-568321.7503662109	296.9471867689124	1.55e+03
34.0%	340000	-568152.6505126953	300.0608778136656	1.55e+03
34.1%	341000	-568261.1608276367	309.266302452471	1.55e+03
34.2%	342000	-568186.486114502	290.23691962461476	1.55e+03
34.3%	343000	-568356.6999206543	307.2024055170007	1.55e+03
34.4%	344000	-568226.506652832	311.46625849541107	1.55e+03
34.5%	345000	-568243.9874267578	314.80802487911393	1.55e+03
34.6%	346000	-568207.1594848633	295.95407905067003	1.55e+03
34.7%	347000	-568394.4669189453	306.1595660192718	1.55e+03
34.8%	348000	-568238.2775268555	302.9902862923262	1.55e+03
34.9%	349000	-568357.2157287598	304.5110409191219	1.55e+03
35.0%	350000	-568193.2443847656	314.09124434660697	1.55e+03
35.1%	351000	-568269.8654174805	313.5001141150587	1.55e+03
35.2%	352000	-568086.3315429688	312.0018476696225	1.55e+03
35.3%	353000	-568368.4086914062	310.0635748634103	1.55e+03
35.4%	354000	-568407.3262939453	307.2431130023029	1.55e+03
